epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.486,1.73779,3.50593,1.69654,0.632,0.40611,0.4435,0.20153,1.81118,2.56472,1.70024,0.00332788,0.00332788,0.00332788
2,286.659,1.78642,2.49629,1.67596,0.28057,0.29258,0.21776,0.09508,2.02698,3.00945,1.96923,0.00663923,0.00663923,0.00663923
3,414.704,1.92291,2.46366,1.83532,0.28522,0.16656,0.1357,0.04757,2.32071,4.48762,2.51042,0.00992858,0.00992858,0.00992858
4,535.818,2.04479,2.62446,1.97786,0.31442,0.32002,0.23141,0.09143,2.16711,2.63595,2.19059,0.009901,0.009901,0.009901
5,656.174,1.94791,2.40742,1.90237,0.51044,0.40861,0.40937,0.17463,1.98566,2.36202,2.04976,0.009868,0.009868,0.009868
6,775.086,1.88686,2.2682,1.85964,0.5322,0.43793,0.42339,0.18632,1.99519,2.09672,1.94616,0.009835,0.009835,0.009835
7,894.416,1.84004,2.1295,1.80998,0.47195,0.42597,0.40585,0.18692,1.90423,2.08576,1.94042,0.009802,0.009802,0.009802
8,1013.04,1.80939,2.0431,1.78316,0.66665,0.49095,0.568,0.26872,1.84274,1.77051,1.84815,0.009769,0.009769,0.009769
9,1133.21,1.76716,1.93246,1.7322,0.66457,0.5184,0.57685,0.29341,1.78955,1.71596,1.79591,0.009736,0.009736,0.009736
10,1252.3,1.75157,1.88973,1.72936,0.64168,0.51837,0.57718,0.26834,1.85064,1.69293,1.82776,0.009703,0.009703,0.009703
11,1372.98,1.73182,1.83631,1.70777,0.7363,0.54772,0.63232,0.3192,1.74889,1.58899,1.76041,0.00967,0.00967,0.00967
12,1492.29,1.69948,1.76524,1.69196,0.7515,0.56581,0.64746,0.33935,1.71742,1.54013,1.71706,0.009637,0.009637,0.009637
13,1611.61,1.69197,1.72747,1.67263,0.77801,0.60449,0.69667,0.35737,1.70274,1.46307,1.6913,0.009604,0.009604,0.009604
14,1730.79,1.66981,1.70441,1.66598,0.77952,0.64405,0.72467,0.39057,1.64807,1.3558,1.67215,0.009571,0.009571,0.009571
15,1849.75,1.65872,1.67463,1.65865,0.72234,0.61011,0.68436,0.36355,1.67321,1.42392,1.698,0.009538,0.009538,0.009538
16,1969.53,1.64474,1.63555,1.64493,0.74484,0.65939,0.67858,0.3516,1.64439,1.35137,1.64446,0.009505,0.009505,0.009505
17,2088.42,1.62142,1.60055,1.62163,0.81392,0.63568,0.74172,0.40527,1.59561,1.29719,1.6183,0.009472,0.009472,0.009472
18,2207.72,1.60504,1.57152,1.60362,0.78874,0.66147,0.74766,0.41892,1.57379,1.28117,1.59611,0.009439,0.009439,0.009439
19,2327.88,1.60266,1.52943,1.59319,0.80387,0.64178,0.74294,0.41154,1.61061,1.24158,1.60551,0.009406,0.009406,0.009406
20,2447.41,1.60435,1.52777,1.5936,0.78801,0.68684,0.75846,0.4188,1.58016,1.19712,1.57757,0.009373,0.009373,0.009373
21,2566.47,1.58215,1.49937,1.57483,0.84812,0.68278,0.80157,0.43504,1.56231,1.16592,1.55171,0.00934,0.00934,0.00934
22,2686.41,1.56597,1.47944,1.56613,0.85107,0.69518,0.80118,0.45821,1.5448,1.12883,1.54715,0.009307,0.009307,0.009307
23,2804.97,1.56668,1.45099,1.56546,0.84912,0.69869,0.79519,0.44938,1.5558,1.14003,1.56636,0.009274,0.009274,0.009274
24,2924.57,1.54588,1.41188,1.54706,0.83822,0.7208,0.80937,0.45517,1.55947,1.10561,1.54554,0.009241,0.009241,0.009241
25,3043.18,1.52975,1.41085,1.53812,0.85378,0.69682,0.80753,0.46392,1.51413,1.09782,1.52233,0.009208,0.009208,0.009208
26,3161.61,1.53788,1.38861,1.5353,0.85571,0.72514,0.82286,0.48051,1.50308,1.05482,1.52011,0.009175,0.009175,0.009175
27,3281.1,1.53112,1.38095,1.53229,0.83058,0.7461,0.82706,0.47725,1.4953,1.03846,1.49396,0.009142,0.009142,0.009142
28,3400.05,1.5219,1.35498,1.51984,0.85838,0.73425,0.82476,0.48236,1.51325,1.03128,1.50042,0.009109,0.009109,0.009109
29,3519.91,1.51407,1.32587,1.51239,0.87692,0.73051,0.83412,0.48133,1.51531,1.01869,1.49659,0.009076,0.009076,0.009076
30,3639.68,1.51381,1.34151,1.51057,0.86089,0.74508,0.83263,0.49348,1.46065,1.00751,1.46589,0.009043,0.009043,0.009043
31,3758.9,1.50186,1.33239,1.50731,0.88324,0.75505,0.84492,0.49667,1.46413,0.98066,1.46966,0.00901,0.00901,0.00901
32,3877.52,1.48703,1.30861,1.49119,0.86411,0.77168,0.86043,0.514,1.44654,0.94508,1.44102,0.008977,0.008977,0.008977
33,3996.29,1.48157,1.27768,1.48122,0.88608,0.77293,0.86554,0.52088,1.44733,0.9355,1.45664,0.008944,0.008944,0.008944
34,4113.93,1.47269,1.28662,1.49095,0.8953,0.7682,0.86326,0.52194,1.43652,0.92999,1.45315,0.008911,0.008911,0.008911
35,4232.69,1.48177,1.27959,1.47576,0.87997,0.77105,0.86212,0.51762,1.41512,0.93013,1.4263,0.008878,0.008878,0.008878
36,4350.69,1.45437,1.24978,1.46834,0.87497,0.78478,0.8585,0.5191,1.41034,0.92502,1.42825,0.008845,0.008845,0.008845
37,4469.46,1.46289,1.25914,1.47355,0.90377,0.77927,0.8731,0.53336,1.39489,0.90336,1.41651,0.008812,0.008812,0.008812
38,4588.65,1.42989,1.21408,1.44988,0.88909,0.78727,0.87255,0.53407,1.40296,0.88185,1.41586,0.008779,0.008779,0.008779
39,4707.7,1.45818,1.22377,1.46233,0.91432,0.77886,0.88059,0.53265,1.41059,0.89389,1.41884,0.008746,0.008746,0.008746
40,4826.45,1.43639,1.20844,1.45301,0.89653,0.7854,0.86947,0.53303,1.41146,0.8864,1.42063,0.008713,0.008713,0.008713
41,4945.09,1.43787,1.21672,1.4484,0.90944,0.77792,0.87686,0.53895,1.40136,0.86598,1.40582,0.00868,0.00868,0.00868
