epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.0507,2.1012,4.65048,1.85577,0.23598,0.2016,0.14106,0.05565,2.34424,4.28196,2.27195,0.000664723,0.000664723,0.000664723
2,139.259,2.32584,3.43379,2.10728,0.17229,0.1168,0.07446,0.02576,2.32964,3.40284,2.30327,0.00131821,0.00131821,0.00131821
3,205.132,2.31169,3.23653,2.14588,0.21871,0.1168,0.10122,0.04072,2.39299,3.19627,2.30209,0.00195849,0.00195849,0.00195849
4,270.378,2.27843,3.14474,2.12027,0.31568,0.2288,0.17681,0.06466,2.24733,2.73086,2.11477,0.0019406,0.0019406,0.0019406
5,335.19,2.16632,2.87463,2.00057,0.34703,0.2352,0.21278,0.07777,2.20602,3.73886,2.09138,0.0019208,0.0019208,0.0019208
6,400.018,2.11088,2.80412,1.96304,0.37803,0.296,0.27371,0.11203,2.11122,2.38309,1.99516,0.001901,0.001901,0.001901
7,463.056,2.05196,2.6538,1.95734,0.30517,0.2912,0.22785,0.08882,2.0864,2.64391,2.06046,0.0018812,0.0018812,0.0018812
8,527.177,2.02962,2.52727,1.91651,0.40898,0.3376,0.31366,0.12923,2.01323,2.2741,1.92918,0.0018614,0.0018614,0.0018614
9,590.661,1.99373,2.45557,1.88834,0.37982,0.3232,0.30428,0.12468,2.02974,2.50269,2.02218,0.0018416,0.0018416,0.0018416
10,653.174,1.96433,2.40619,1.86567,0.47155,0.35551,0.36306,0.15499,1.9714,2.21638,1.89489,0.0018218,0.0018218,0.0018218
11,716.363,1.93536,2.35533,1.82275,0.55649,0.4016,0.41415,0.17972,1.96601,2.18052,1.87926,0.001802,0.001802,0.001802
12,778.744,1.95341,2.31694,1.84303,0.4972,0.41295,0.41128,0.1796,1.9586,2.05952,1.91157,0.0017822,0.0017822,0.0017822
13,841.512,1.89615,2.26774,1.81039,0.49374,0.37294,0.38755,0.17073,1.92374,2.80373,1.88581,0.0017624,0.0017624,0.0017624
14,904.235,1.87181,2.25047,1.7978,0.56134,0.416,0.43462,0.19406,1.92826,2.13561,1.89711,0.0017426,0.0017426,0.0017426
15,969.408,1.8614,2.12197,1.7704,0.58648,0.3872,0.43877,0.20421,1.93078,1.99987,1.90009,0.0017228,0.0017228,0.0017228
16,1037.66,1.86725,2.1633,1.782,0.61035,0.456,0.49877,0.21749,1.92291,1.87678,1.84689,0.001703,0.001703,0.001703
