epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.98,2.53641,9.10723,1.40679,0.00042,0.2314,0.00028,0.0001,1.8208,32.5509,1.1653,0.000656566,0.000656566,0.000656566
2,27.0315,2.30686,5.67947,1.30514,0.2161,0.04132,0.07924,0.02459,2.10902,9.33117,1.31233,0.00131013,0.00131013,0.00131013
3,38.668,2.44775,4.58992,1.39759,0.35246,0.23967,0.23022,0.08165,2.10996,7.08419,1.28612,0.0019505,0.0019505,0.0019505
4,50.3697,2.4561,3.67905,1.4526,0.38945,0.2562,0.19343,0.06595,1.90537,7.91998,1.19402,0.0019406,0.0019406,0.0019406
5,61.9137,2.35359,2.85062,1.37202,0.23313,0.28926,0.15249,0.05607,1.92238,2.93359,1.16211,0.0019208,0.0019208,0.0019208
6,73.1703,2.33572,2.47947,1.36511,0.32463,0.33058,0.25851,0.09992,1.86698,2.40596,1.17171,0.001901,0.001901,0.001901
7,84.6758,2.28846,2.41413,1.35699,0.3873,0.34711,0.26894,0.09792,1.93182,3.06245,1.14142,0.0018812,0.0018812,0.0018812
8,95.7993,2.23632,2.2674,1.3596,0.37423,0.28926,0.27142,0.08981,1.82359,2.50335,1.18828,0.0018614,0.0018614,0.0018614
9,107.145,2.20105,2.1611,1.35176,0.34871,0.35843,0.31028,0.10326,1.97854,2.14312,1.18667,0.0018416,0.0018416,0.0018416
10,118.273,2.21196,2.09022,1.3356,0.47361,0.32231,0.33246,0.14112,1.7706,2.41319,1.10909,0.0018218,0.0018218,0.0018218
11,129.592,2.14215,1.96264,1.31994,0.46283,0.41322,0.38968,0.13517,1.81754,3.43138,1.15036,0.001802,0.001802,0.001802
12,141.982,2.05843,1.85321,1.27354,0.45734,0.47107,0.43023,0.17351,1.84619,1.84129,1.14616,0.0017822,0.0017822,0.0017822
13,153.895,2.06228,1.77098,1.25199,0.52532,0.46281,0.40797,0.16329,1.79726,3.77041,1.13057,0.0017624,0.0017624,0.0017624
14,164.975,2.09391,1.71163,1.28107,0.57889,0.52066,0.51966,0.20034,1.78987,1.77264,1.13458,0.0017426,0.0017426,0.0017426
15,176.083,2.04528,1.74584,1.23992,0.6314,0.5124,0.59337,0.23577,1.67321,1.66166,1.05393,0.0017228,0.0017228,0.0017228
16,187.244,2.03851,1.707,1.22494,0.57073,0.51646,0.5107,0.19538,1.72488,2.35937,1.08254,0.001703,0.001703,0.001703
